NodeId,SiteId,UtcStageId,Occurrences,InterstageTotal,InterstageAverage,GreenTotal,GreenAverage,StartTimestamp,EndTimestamp,PeriodId,StageTotal,Cycles,TotalTime,coverage,OccurrenceFactor,AdjustedGreenAverage,AdjustedInterstageAverage,CycleTime,ScootCycleTime,ScootGreenTime,ScootInterstageTime,FinalGreenTime,FinalInterstageTime
N00/006,J00/134,G5,60,484,8.066666667,970,16.16666667,0 days 08:00:00,0 days 09:00:00,AM,1454,60,3602,1.000555556,1,16.16666667,8.066666667,60.03333333,60,16.15769017,8.062187674,16,8
N00/007,J00/007,G1,50,782,15.64,1332,26.64,0 days 08:00:00,0 days 09:00:00,AM,2114,50,3587,0.996388889,1,26.64,15.64,71.74,72,26.73654865,15.69668246,27,15
N00/007,J00/007,G2,2,12,6,8,4,0 days 08:00:00,0 days 09:00:00,AM,20,50,3587,0.996388889,0.04,0.16,0.24,71.74,72,0.160579872,0.240869808,0,0
N00/007,J00/007,G3,50,450,9,507,10.14,0 days 08:00:00,0 days 09:00:00,AM,957,50,3587,0.996388889,1,10.14,9,71.74,72,10.17674937,9.032617786,10,9
N00/007,J00/007,G4,31,311,10.03225806,185,5.967741935,0 days 08:00:00,0 days 09:00:00,AM,496,50,3587,0.996388889,0.62,3.7,6.22,71.74,72,3.713409534,6.242542515,4,6
N00/008,J00/008,G1,41,281,6.853658537,1746,42.58536585,0 days 08:00:00,0 days 09:00:00,AM,2027,41,3594,0.998333333,1,42.58536585,6.853658537,87.65853659,88,42.75125209,6.880356149,43,7
N00/008,J00/008,G2,40,439,10.975,240,6,0 days 08:00:00,0 days 09:00:00,AM,679,41,3594,0.998333333,0.975609756,5.853658537,10.70731707,87.65853659,88,5.876460768,10.74902615,6,11
N00/008,J00/008,G3,41,574,14,314,7.658536585,0 days 08:00:00,0 days 09:00:00,AM,888,41,3594,0.998333333,1,7.658536585,14,87.65853659,88,7.688369505,14.05453534,7,14
N00/009,J00/009,G1,36,612,17,519,14.41666667,0 days 08:00:00,0 days 09:00:00,AM,1131,38,3581,0.994722222,0.947368421,13.65789474,16.10526316,94.23684211,96,13.913432,16.40659034,14,16
N00/009,J00/009,G2,37,222,6,185,5,0 days 08:00:00,0 days 09:00:00,AM,407,38,3581,0.994722222,0.973684211,4.868421053,5.842105263,94.23684211,96,4.959508517,5.951410221,5,6
N00/009,J00/009,G3,38,304,8,767,20.18421053,0 days 08:00:00,0 days 09:00:00,AM,1071,38,3581,0.994722222,1,20.18421053,8,94.23684211,96,20.56185423,8.149678861,21,8
N00/009,J00/009,G4,28,140,5,224,8,0 days 08:00:00,0 days 09:00:00,AM,364,38,3581,0.994722222,0.736842105,5.894736842,3.684210526,94.23684211,96,6.005026529,3.753141581,6,4
N00/009,J00/009,G5,38,380,10,228,6,0 days 08:00:00,0 days 09:00:00,AM,608,38,3581,0.994722222,1,6,10,94.23684211,96,6.112259145,10.18709858,6,10
N00/009,J00/070,G1,38,608,16,2356,62,0 days 08:00:00,0 days 09:00:00,AM,2964,38,3648,1.013333333,1,62,16,96,96,62,16,62,16
N00/009,J00/070,G2,38,228,6,456,12,0 days 08:00:00,0 days 09:00:00,AM,684,38,3648,1.013333333,1,12,6,96,96,12,6,12,6
N00/010,J00/010,G1,46,846,18.39130435,1146,24.91304348,0 days 08:00:00,0 days 09:00:00,AM,1992,48,3479,0.966388889,0.958333333,23.875,17.625,72.47916667,72,23.7171601,17.50847945,24,17
N00/010,J00/010,G2,48,272,5.666666667,528,11,0 days 08:00:00,0 days 09:00:00,AM,800,48,3479,0.966388889,1,11,5.666666667,72.47916667,72,10.92727795,5.629203794,11,6
N00/010,J00/010,G3,44,429,9.75,258,5.863636364,0 days 08:00:00,0 days 09:00:00,AM,687,48,3479,0.966388889,0.916666667,5.375,8.9375,72.47916667,72,5.339465364,8.878413337,5,9
